restaurant_id,restaurant_name,restaurant_type,Rating,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address
2609,Creamyum,Delivery,4,95,300,No,No,"Bakery, Desserts",Kalyan Nagar,HBR Layout
2610,Create Cafe,Quick Bites,3.4,9,300,Yes,No,Italian,Malleshwaram,Rajajinagar
2611,Creme & Cheese,"Takeaway, Delivery",3.8,18,850,No,No,Desserts,Koramangala 4th Block,Koramangala 4th Block
2612,Creme Bliss,Bakery,3.9,42,350,Yes,No,"Bakery, Desserts",Kalyan Nagar,HBR Layout
2613,Crepe Nation,Food Truck,3.8,12,300,Yes,No,"Fast Food, Desserts",Bannerghatta Road,South Bangalore
2614,Crescent Avenue - Hotel Bangalore International,Casual Dining,3.6,41,1400,Yes,No,"North Indian, Continental, Chinese, Asian, Thai",Brigade Road,Race Course Road
2615,Crisp Cafe,"Cafe, Casual Dining",4,97,1100,No,No,"Salad, Cafe, Continental, Steak, Italian, Burger, Desserts, Pizza",Indiranagar,Indiranagar
2616,Crispy Crust Pizza,Delivery,3.1,45,450,Yes,No,Pizza,Indiranagar,Indiranagar
2617,Crispy Fried Chicken,Quick Bites,3.3,11,150,Yes,No,"Burger, Fast Food",Indiranagar,Old Airport Road
2618,Croons,Dessert Parlor,3.8,26,350,No,No,Desserts,Brigade Road,Brigade Road
2619,Cross Road Cafe,Cafe,3.9,91,300,Yes,No,"Cafe, Fast Food, Chinese",Banashankari,Jayanagar
2620,Cross Roads Cafe,Cafe,3,59,500,No,No,"Cafe, Italian, Tex-Mex, Fast Food, Burger",Old Airport Road,Indiranagar
2621,Cross Roads Inn,Casual Dining,2.8,40,800,No,No,"North Indian, South Indian, Beverages",Marathahalli,Marathahalli
2622,Crown Gold,Quick Bites,3.9,49,400,Yes,No,"South Indian, Chinese, Seafood",Koramangala 4th Block,Koramangala 4th Block
2623,Crown Resto,Casual Dining,2.8,40,450,No,No,"Fast Food, Chinese, North Indian, Biryani",Koramangala 4th Block,BTM
2624,Crumb Together,"Casual Dining, Bar",4.1,583,1200,Yes,Yes,"Continental, Finger Food, North Indian, Chinese",Bannerghatta Road,JP Nagar
2625,Crumbz Crunches,Quick Bites,3.1,44,450,Yes,No,"North Indian, Chinese",Electronic City,Electronic City
2626,Crunch and Munch,Quick Bites,3.7,23,300,Yes,No,"Chinese, Street Food, Ice Cream",Banashankari,Uttarahalli
2627,Crunch Pizzas,Delivery,2.6,54,600,Yes,No,"Italian, Pizza","Byresandra,Tavarekere,Madiwala",HSR
2628,Crunch Pizzas - Express Delivery,Delivery,3,235,500,Yes,No,Pizza,Indiranagar,Indiranagar
2629,Crunchees Cafeteria,Quick Bites,3.4,11,400,No,No,Fast Food,Kalyan Nagar,Kalyan Nagar
2630,Crunchie Corner,Quick Bites,4,44,450,Yes,No,"Fast Food, Continental, Desserts",Brookefield,Brookefield
2631,Crunchy Nights,Delivery,3.6,27,350,Yes,No,"North Indian, Chinese, Continental","Byresandra,Tavarekere,Madiwala",BTM
2632,CTR,Quick Bites,4.7,4408,150,Yes,No,South Indian,Malleshwaram,Malleshwaram
2633,Cubbon Pavilion - ITC Gardenia,Fine Dining,4.3,678,2500,No,Yes,"European, Continental, Chinese, Thai",Brigade Road,Richmond Road
2634,Cubbonpete Donne Biryani,Quick Bites,3.9,92,300,Yes,No,"South Indian, Biryani",New BEL Road,Sahakara Nagar
2635,Cucumber Town,Delivery,4.2,306,600,Yes,No,"Kerala, North Indian",Bannerghatta Road,BTM
2636,Cultch Resto Cafe,Cafe,3.7,46,600,No,No,Cafe,Brookefield,Marathahalli
2637,Cup Chronicles Cafe,Cafe,3.9,48,450,Yes,Yes,"Cafe, Continental, Tea, Beverages, Desserts",Indiranagar,Indiranagar
2638,Cup Shup,Cafe,2.8,185,500,No,No,"Cafe, Continental, Fast Food",Old Airport Road,Indiranagar
2639,Cupcake Bliss,Bakery,3.2,6,250,Yes,No,Bakery,Brookefield,Brookefield
2640,Cupcake Couture,Delivery,3.8,40,300,No,No,Desserts,Whitefield,Whitefield
2641,Cupcake Noggins,Dessert Parlor,3.9,177,300,No,No,"Desserts, Bakery",Bellandur,Sarjapur Road
2642,Cupp,Cafe,2.8,40,550,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",BTM
2643,Cuppa,Cafe,3,119,700,Yes,No,"Cafe, Fast Food, Continental",Electronic City,Electronic City
2644,Cuppa Joy,Cafe,2.8,40,500,No,No,"Cafe, Continental",Kalyan Nagar,Kalyan Nagar
2645,Curries & Chillies,Quick Bites,3,20,300,No,No,"Biryani, Andhra",Kammanahalli,Banaswadi
2646,Curries & Pickles,Quick Bites,3.4,35,400,Yes,No,"Andhra, Biryani, Chinese",Electronic City,Electronic City
2647,Curries And Pickles,Quick Bites,2.8,28,400,No,No,"Andhra, North Indian, Biryani",Whitefield,Whitefield
2648,Curries 'N' Phulkas,Quick Bites,3.4,6,250,Yes,No,North Indian,Electronic City,Electronic City
2649,Curries'N' Fries,Quick Bites,3.7,22,400,No,No,Andhra,HSR,HSR
2650,Curry Chutney,Quick Bites,3,20,400,No,No,"North Indian, South Indian, Chinese",Marathahalli,Marathahalli
2651,Curry Flavours,Casual Dining,2.8,40,200,No,No,"Tamil, South Indian, North Indian, Chinese",Bellandur,Bellandur
2652,Curry Leaves,Casual Dining,3.8,232,600,Yes,No,"Andhra, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Jayanagar
